epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6641.06,2.33422,2.23821,2.65166,0.61154,0.59205,0.62986,0.40592,2.47335,2.10603,3.00983,0.00034808,0.00034808,0.00034808
43,6742.1,2.30224,2.22551,2.6453,0.60103,0.55291,0.60641,0.38439,2.47795,2.3668,3.03767,0.000343741,0.000343741,0.000343741
44,6842.87,2.32218,2.18896,2.65092,0.6639,0.61857,0.65112,0.41394,2.46027,1.95254,2.99385,0.000339401,0.000339401,0.000339401
45,6939.87,2.25532,2.15759,2.62795,0.6255,0.6087,0.64175,0.41667,2.44141,1.96674,2.99753,0.000335062,0.000335062,0.000335062
46,7040.83,2.27688,2.13781,2.60883,0.65916,0.614,0.64118,0.39996,2.47462,2.1894,3.01394,0.000330722,0.000330722,0.000330722
47,7140.96,2.26233,2.11364,2.60529,0.65397,0.60925,0.63672,0.40861,2.46737,2.11924,3.02802,0.000326383,0.000326383,0.000326383
48,7244.21,2.27845,2.13186,2.61309,0.72622,0.6031,0.6591,0.4129,2.46348,2.08455,3.02709,0.000322044,0.000322044,0.000322044
49,7352.7,2.27631,2.10348,2.6176,0.59303,0.61816,0.62132,0.40232,2.46608,2.1458,3.00378,0.000317704,0.000317704,0.000317704
50,7457.06,2.27352,2.10818,2.61226,0.65481,0.65909,0.69332,0.42648,2.43728,1.98512,2.98073,0.000313365,0.000313365,0.000313365
51,7557.67,2.22509,2.06368,2.57741,0.67706,0.58037,0.63256,0.40188,2.49132,2.02956,3.08578,0.000309025,0.000309025,0.000309025
52,7656.76,2.2508,2.06963,2.60752,0.65198,0.63203,0.66788,0.41669,2.47298,2.05845,3.03042,0.000304685,0.000304685,0.000304685
53,7755.03,2.22458,2.01574,2.58097,0.62445,0.63626,0.66629,0.42597,2.44929,2.02364,3.00712,0.000300346,0.000300346,0.000300346
54,7858.83,2.24673,2.00117,2.58682,0.66865,0.64898,0.68061,0.44265,2.46173,1.95292,2.99017,0.000296006,0.000296006,0.000296006
55,7961.73,2.20909,1.99178,2.57631,0.71786,0.60371,0.67928,0.43641,2.4172,1.96946,2.96223,0.000291667,0.000291667,0.000291667
56,8071.54,2.21645,1.98485,2.57678,0.70951,0.6341,0.69021,0.44519,2.4804,1.9102,3.0291,0.000287328,0.000287328,0.000287328
57,8175.57,2.18099,1.9523,2.5472,0.70837,0.6461,0.69697,0.4453,2.45644,1.97143,3.01378,0.000282988,0.000282988,0.000282988
58,8277.31,2.20324,1.95604,2.57891,0.7014,0.59974,0.67379,0.43633,2.39101,1.91597,2.95818,0.000278649,0.000278649,0.000278649
59,8379.98,2.19366,1.91576,2.56807,0.69771,0.65493,0.69925,0.4461,2.44329,1.88382,3.00324,0.000274309,0.000274309,0.000274309
60,8485.02,2.20432,1.90753,2.55349,0.72406,0.6544,0.72012,0.47119,2.42498,1.80143,2.99458,0.00026997,0.00026997,0.00026997
61,8587.81,2.17974,1.8851,2.54067,0.72608,0.61789,0.68757,0.45654,2.4113,1.92805,2.96959,0.00026563,0.00026563,0.00026563
